player_id,player_firstName,player_lastName,player_amateur,player_displayName,player_country,player_shortName,scoringData_position,scoringData_total,scoringData_thru,scoringData_score,scoringData_courseId,scoringData_groupNumber,scoringData_currentRound,scoringData_rounds_1,scoringData_rounds_2,scoringData_rounds_3,scoringData_rounds_4,scoringData_playerState,scoringData_totalStrokes,scoringData_projected,scoringData_roundStatus,rounds_All_round,rounds_All_displayName,rounds_All_performance_SG:OTT_total,rounds_All_performance_SG:OTT_yearToDate,rounds_All_performance_SG:APP_total,rounds_All_performance_SG:APP_yearToDate,rounds_All_performance_SG:ARG_total,rounds_All_performance_SG:ARG_yearToDate,rounds_All_performance_SG:PUTT_total,rounds_All_performance_SG:PUTT_yearToDate,rounds_All_performance_DA_total,rounds_All_performance_DA_yearToDate,rounds_All_performance_DD_total,rounds_All_performance_DD_yearToDate,rounds_All_performance_GIR_total,rounds_All_performance_GIR_yearToDate,rounds_All_scoring_Eagles_total,rounds_All_scoring_Eagles_yearToDate,rounds_All_scoring_Birdies_total,rounds_All_scoring_Birdies_yearToDate,rounds_All_scoring_Pars_total,rounds_All_scoring_Pars_yearToDate,rounds_All_scoring_Bogeys_total,rounds_All_scoring_Bogeys_yearToDate,rounds_1_round,rounds_1_displayName,rounds_1_courseInfo_courseId,rounds_1_courseInfo_courseName,rounds_1_courseInfo_groupNumber,rounds_1_courseInfo_parTotal,rounds_1_courseInfo_total,rounds_1_courseInfo_scoreToPar,rounds_1_performance_SG:OTT_total,rounds_1_performance_SG:OTT_yearToDate,rounds_1_performance_SG:APP_total,rounds_1_performance_SG:APP_yearToDate,rounds_1_performance_SG:ARG_total,rounds_1_performance_SG:ARG_yearToDate,rounds_1_performance_SG:PUTT_total,rounds_1_performance_SG:PUTT_yearToDate,rounds_1_performance_DA_total,rounds_1_performance_DA_yearToDate,rounds_1_performance_DD_total,rounds_1_performance_DD_yearToDate,rounds_1_performance_GIR_total,rounds_1_performance_GIR_yearToDate,rounds_1_scoring_Eagles_total,rounds_1_scoring_Eagles_yearToDate,rounds_1_scoring_Birdies_total,rounds_1_scoring_Birdies_yearToDate,rounds_1_scoring_Pars_total,rounds_1_scoring_Pars_yearToDate,rounds_1_scoring_Bogeys_total,rounds_1_scoring_Bogeys_yearToDate,rounds_2_round,rounds_2_displayName,rounds_2_courseInfo_courseId,rounds_2_courseInfo_courseName,rounds_2_courseInfo_groupNumber,rounds_2_courseInfo_parTotal,rounds_2_courseInfo_total,rounds_2_courseInfo_scoreToPar,rounds_2_performance_SG:OTT_total,rounds_2_performance_SG:OTT_yearToDate,rounds_2_performance_SG:APP_total,rounds_2_performance_SG:APP_yearToDate,rounds_2_performance_SG:ARG_total,rounds_2_performance_SG:ARG_yearToDate,rounds_2_performance_SG:PUTT_total,rounds_2_performance_SG:PUTT_yearToDate,rounds_2_performance_DA_total,rounds_2_performance_DA_yearToDate,rounds_2_performance_DD_total,rounds_2_performance_DD_yearToDate,rounds_2_performance_GIR_total,rounds_2_performance_GIR_yearToDate,rounds_2_scoring_Eagles_total,rounds_2_scoring_Eagles_yearToDate,rounds_2_scoring_Birdies_total,rounds_2_scoring_Birdies_yearToDate,rounds_2_scoring_Pars_total,rounds_2_scoring_Pars_yearToDate,rounds_2_scoring_Bogeys_total,rounds_2_scoring_Bogeys_yearToDate,rounds_3_round,rounds_3_displayName,rounds_3_courseInfo_courseId,rounds_3_courseInfo_courseName,rounds_3_courseInfo_groupNumber,rounds_3_courseInfo_parTotal,rounds_3_courseInfo_total,rounds_3_courseInfo_scoreToPar,rounds_3_performance_SG:OTT_total,rounds_3_performance_SG:OTT_yearToDate,rounds_3_performance_SG:APP_total,rounds_3_performance_SG:APP_yearToDate,rounds_3_performance_SG:ARG_total,rounds_3_performance_SG:ARG_yearToDate,rounds_3_performance_SG:PUTT_total,rounds_3_performance_SG:PUTT_yearToDate,rounds_3_performance_DA_total,rounds_3_performance_DA_yearToDate,rounds_3_performance_DD_total,rounds_3_performance_DD_yearToDate,rounds_3_performance_GIR_total,rounds_3_performance_GIR_yearToDate,rounds_3_scoring_Eagles_total,rounds_3_scoring_Eagles_yearToDate,rounds_3_scoring_Birdies_total,rounds_3_scoring_Birdies_yearToDate,rounds_3_scoring_Pars_total,rounds_3_scoring_Pars_yearToDate,rounds_3_scoring_Bogeys_total,rounds_3_scoring_Bogeys_yearToDate,rounds_4_round,rounds_4_displayName,rounds_4_courseInfo_courseId,rounds_4_courseInfo_courseName,rounds_4_courseInfo_groupNumber,rounds_4_courseInfo_parTotal,rounds_4_courseInfo_total,rounds_4_courseInfo_scoreToPar,rounds_4_performance_SG:OTT_total,rounds_4_performance_SG:OTT_yearToDate,rounds_4_performance_SG:APP_total,rounds_4_performance_SG:APP_yearToDate,rounds_4_performance_SG:ARG_total,rounds_4_performance_SG:ARG_yearToDate,rounds_4_performance_SG:PUTT_total,rounds_4_performance_SG:PUTT_yearToDate,rounds_4_performance_DA_total,rounds_4_performance_DA_yearToDate,rounds_4_performance_DD_total,rounds_4_performance_DD_yearToDate,rounds_4_performance_GIR_total,rounds_4_performance_GIR_yearToDate,rounds_4_scoring_Eagles_total,rounds_4_scoring_Eagles_yearToDate,rounds_4_scoring_Birdies_total,rounds_4_scoring_Birdies_yearToDate,rounds_4_scoring_Pars_total,rounds_4_scoring_Pars_yearToDate,rounds_4_scoring_Bogeys_total,rounds_4_scoring_Bogeys_yearToDate
51766,Wyndham,Clark,False,Wyndham Clark,USA,W. Clark,1,-19,F,-3,872,1,4,67,67,63,68,COMPLETE,265,5,R4 Completed,-1,All,2.766,0.139,8.202,0.436,0.592,0.255,7.461,0.370,41.07% (23/56),54.91%,321.10 yds,313.5,80.56% (58/72),67.76%,1,14,22,419,44,-,5,-,1,Round 1,872,Quail Hollow Club,35,71,67,-4,2.292,0.139,1.928,0.436,0.239,0.255,1.211,0.370,42.86% (6/14),54.91%,334.00 yds,313.5,77.78% (14/18),67.76%,0,14,6,419,10,-,2,-,2,Round 2,872,Quail Hollow Club,35,71,67,-4,-1.171,0.139,2.341,0.436,0.179,0.255,1.964,0.370,28.57% (4/14),54.91%,318.00 yds,313.5,77.78% (14/18),67.76%,1,14,3,419,13,-,1,-,3,Round 3,872,Quail Hollow Club,2,71,63,-8,1.383,0.139,2.378,0.436,-0.406,0.255,3.105,0.370,71.43% (10/14),54.91%,326.50 yds,313.5,94.44% (17/18),67.76%,0,14,8,419,10,-,0,-,4,Round 4,872,Quail Hollow Club,1,71,68,-3,0.262,0.139,1.555,0.436,0.580,0.255,1.180,0.370,21.43% (3/14),54.91%,306.00 yds,313.5,72.22% (13/18),67.76%,0,14,5,419,11,-,2,-
48081,Xander,Schauffele,False,Xander Schauffele,USA,X. Schauffele,2,-15,F,-1,872,1,4,66,69,64,70,COMPLETE,269,8,R4 Completed,-1,All,3.453,0.265,2.299,0.880,2.438,0.056,4.760,0.667,58.93% (33/56),57.46%,321.50 yds,304.1,72.22% (52/72),68.45%,2,13,19,341,43,-,8,-,1,Round 1,872,Quail Hollow Club,30,71,66,-5,1.358,0.265,1.120,0.880,0.887,0.056,2.161,0.667,57.14% (8/14),57.46%,313.50 yds,304.1,72.22% (13/18),68.45%,1,13,5,341,10,-,2,-,2,Round 2,872,Quail Hollow Club,30,71,69,-2,0.393,0.265,0.388,0.880,-0.559,0.056,1.091,0.667,64.29% (9/14),57.46%,299.50 yds,304.1,66.67% (12/18),68.45%,0,13,3,341,14,-,1,-,3,Round 3,872,Quail Hollow Club,2,71,64,-7,1.127,0.265,0.755,0.880,0.704,0.056,2.874,0.667,64.29% (9/14),57.46%,321.00 yds,304.1,72.22% (13/18),68.45%,1,13,7,341,8,-,2,-,4,Round 4,872,Quail Hollow Club,1,71,70,-1,0.575,0.265,0.036,0.880,1.406,0.056,-1.367,0.667,50.00% (7/14),57.46%,352.00 yds,304.1,77.78% (14/18),68.45%,0,13,4,341,11,-,3,-
34099,Harris,English,False,Harris English,USA,H. English,T3,-12,F,-2,872,3,4,71,66,66,69,COMPLETE,272,35,R4 Completed,-1,All,-2.233,-0.288,6.664,0.138,2.199,0.178,4.884,0.488,60.71% (34/56),62.07%,311.10 yds,297.3,72.22% (52/72),64.60%,0,6,18,344,48,-,6,-,1,Round 1,872,Quail Hollow Club,19,71,71,E,-1.030,-0.288,0.385,0.138,0.581,0.178,0.909,0.488,57.14% (8/14),62.07%,324.50 yds,297.3,66.67% (12/18),64.60%,0,6,4,344,10,-,4,-,2,Round 2,872,Quail Hollow Club,19,71,66,-5,-0.912,-0.288,2.332,0.138,1.628,0.178,1.882,0.488,50.00% (7/14),62.07%,306.00 yds,297.3,72.22% (13/18),64.60%,0,6,5,344,13,-,0,-,3,Round 3,872,Quail Hollow Club,9,71,66,-5,-0.693,-0.288,1.584,0.138,0.895,0.178,1.673,0.488,64.29% (9/14),62.07%,316.50 yds,297.3,72.22% (13/18),64.60%,0,6,5,344,13,-,0,-,4,Round 4,872,Quail Hollow Club,3,71,69,-2,0.401,-0.288,2.363,0.138,-0.905,0.178,0.419,0.488,71.43% (10/14),62.07%,297.50 yds,297.3,77.78% (14/18),64.60%,0,6,4,344,12,-,2,-
34363,Tyrrell,Hatton,False,Tyrrell Hatton,ENG,T. Hatton,T3,-12,F,-1,872,2,4,69,65,68,70,COMPLETE,272,27,R4 Completed,-1,All,0.920,0.533,5.811,0.419,3.935,0.128,1.124,0.597,57.14% (32/56),59.41%,312.30 yds,306.5,69.44% (50/72),66.38%,1,9,19,317,43,-,9,-,1,Round 1,872,Quail Hollow Club,34,71,69,-2,0.885,0.533,1.924,0.419,0.914,0.128,-1.069,0.597,64.29% (9/14),59.41%,321.00 yds,306.5,72.22% (13/18),66.38%,0,9,4,317,12,-,2,-,2,Round 2,872,Quail Hollow Club,34,71,65,-6,1.216,0.533,0.753,0.419,0.814,0.128,2.530,0.597,64.29% (9/14),59.41%,296.00 yds,306.5,61.11% (11/18),66.38%,1,9,6,317,9,-,2,-,3,Round 3,872,Quail Hollow Club,1,71,68,-3,-0.613,0.533,2.030,0.419,0.380,0.128,0.452,0.597,57.14% (8/14),59.41%,316.00 yds,306.5,77.78% (14/18),66.38%,0,9,6,317,9,-,3,-,4,Round 4,872,Quail Hollow Club,2,71,70,-1,-0.569,0.533,1.104,0.419,1.827,0.128,-0.790,0.597,42.86% (6/14),59.41%,316.00 yds,306.5,66.67% (12/18),66.38%,0,9,3,317,13,-,2,-
30911,Tommy,Fleetwood,False,Tommy Fleetwood,ENG,T. Fleetwood,T5,-11,F,-1,872,3,4,65,71,67,70,COMPLETE,273,51,R4 Completed,-1,All,1.133,0.388,3.505,0.462,1.426,0.355,2.225,0.493,50.00% (28/56),61.82%,322.80 yds,302.3,76.39% (55/72),64.56%,1,6,14,292,52,-,5,-,1,Round 1,872,Quail Hollow Club,29,71,65,-6,0.307,0.388,2.243,0.462,0.757,0.355,2.558,0.493,35.71% (5/14),61.82%,325.00 yds,302.3,72.22% (13/18),64.56%,1,6,4,292,13,-,0,-,2,Round 2,872,Quail Hollow Club,29,71,71,E,0.406,0.388,0.216,0.462,-0.876,0.355,-0.433,0.493,64.29% (9/14),61.82%,305.50 yds,302.3,77.78% (14/18),64.56%,0,6,2,292,14,-,2,-,3,Round 3,872,Quail Hollow Club,5,71,67,-4,0.423,0.388,0.507,0.462,1.727,0.355,-0.197,0.493,57.14% (8/14),61.82%,336.50 yds,302.3,77.78% (14/18),64.56%,0,6,5,292,12,-,1,-,4,Round 4,872,Quail Hollow Club,3,71,70,-1,-0.003,0.388,0.539,0.462,-0.182,0.355,0.296,0.493,42.86% (6/14),61.82%,324.00 yds,302.3,77.78% (14/18),64.56%,0,6,3,292,13,-,2,-
24502,Adam,Scott,False,Adam Scott,AUS,A. Scott,T5,-11,F,E,872,2,4,67,68,67,71,COMPLETE,273,105,R4 Completed,-1,All,1.320,0.421,3.995,-0.169,0.427,0.212,5.254,0.462,39.29% (22/56),53.27%,329.50 yds,313.0,65.28% (47/72),65.77%,1,9,22,292,37,-,11,-,1,Round 1,872,Quail Hollow Club,33,71,67,-4,-0.122,0.421,4.018,-0.169,-1.886,0.212,2.831,0.462,35.71% (5/14),53.27%,307.50 yds,313.0,72.22% (13/18),65.77%,1,9,7,292,6,-,3,-,2,Round 2,872,Quail Hollow Club,33,71,68,-3,-0.063,0.421,-0.241,-0.169,1.732,0.212,1.830,0.462,28.57% (4/14),53.27%,317.00 yds,313.0,44.44% (8/18),65.77%,0,9,4,292,13,-,1,-,3,Round 3,872,Quail Hollow Club,4,71,67,-4,-0.227,0.421,0.858,-0.169,0.795,0.212,1.033,0.462,42.86% (6/14),53.27%,349.50 yds,313.0,83.33% (15/18),65.77%,0,9,6,292,10,-,2,-,4,Round 4,872,Quail Hollow Club,2,71,71,E,1.731,0.421,-0.640,-0.169,-0.214,0.212,-0.441,0.462,50.00% (7/14),53.27%,344.00 yds,313.0,61.11% (11/18),65.77%,0,9,5,292,8,-,5,-
39975,Michael,Kim,False,Michael Kim,USA,M. Kim,7,-10,F,-2,872,6,4,68,68,69,69,COMPLETE,274,85,R4 Completed,-1,All,2.031,-0.019,5.294,0.224,0.219,0.050,3.006,0.094,57.14% (32/56),58.61%,325.50 yds,305.0,79.17% (57/72),68.16%,0,9,18,348,46,-,8,-,1,Round 1,872,Quail Hollow Club,36,71,68,-3,1.065,-0.019,1.255,0.224,0.566,0.050,1.831,0.094,57.14% (8/14),58.61%,328.50 yds,305.0,83.33% (15/18),68.16%,0,9,4,348,13,-,1,-,2,Round 2,872,Quail Hollow Club,36,71,68,-3,0.646,-0.019,-0.087,0.224,0.904,0.050,0.850,0.094,64.29% (9/14),58.61%,311.50 yds,305.0,66.67% (12/18),68.16%,0,9,7,348,7,-,4,-,3,Round 3,872,Quail Hollow Club,6,71,69,-2,0.954,-0.019,-0.366,0.224,-0.064,0.050,-0.064,0.094,64.29% (9/14),58.61%,329.50 yds,305.0,77.78% (14/18),68.16%,0,9,3,348,14,-,1,-,4,Round 4,872,Quail Hollow Club,6,71,69,-2,-0.634,-0.019,4.492,0.224,-1.187,0.050,0.388,0.094,42.86% (6/14),58.61%,332.50 yds,305.0,88.89% (16/18),68.16%,0,9,4,348,12,-,2,-
47993,Denny,McCarthy,False,Denny McCarthy,USA,D. McCarthy,T8,-9,F,-5,872,18,4,71,67,71,66,COMPLETE,275,44,R4 Completed,-1,All,0.896,0.035,-1.923,0.102,0.881,0.143,8.728,0.724,66.07% (37/56),61.50%,306.00 yds,295.5,66.67% (48/72),66.94%,2,11,18,387,41,-,9,-,1,Round 1,872,Quail Hollow Club,16,71,71,E,-0.566,0.035,-2.394,0.102,1.498,0.143,2.124,0.724,78.57% (11/14),61.50%,304.50 yds,295.5,61.11% (11/18),66.94%,0,11,4,387,10,-,4,-,2,Round 2,872,Quail Hollow Club,16,71,67,-4,1.930,0.035,-1.300,0.102,1.393,0.143,2.162,0.724,71.43% (10/14),61.50%,308.50 yds,295.5,66.67% (12/18),66.94%,1,11,5,387,9,-,3,-,3,Round 3,872,Quail Hollow Club,12,71,71,E,-0.852,0.035,-2.279,0.102,-2.355,0.143,3.945,0.724,50.00% (7/14),61.50%,304.00 yds,295.5,66.67% (12/18),66.94%,0,11,5,387,10,-,1,-,4,Round 4,872,Quail Hollow Club,18,71,66,-5,0.383,0.035,4.050,0.102,0.345,0.143,0.496,0.724,64.29% (9/14),61.50%,307.00 yds,295.5,72.22% (13/18),66.94%,1,11,4,387,12,-,1,-
32791,K.H.,Lee,False,K.H. Lee,KOR,K. Lee,T8,-9,F,-3,872,13,4,66,70,71,68,COMPLETE,275,54,R4 Completed,-1,All,1.601,0.035,1.798,0.063,-1.514,0.257,6.642,-0.010,60.71% (34/56),59.57%,311.00 yds,300.7,76.39% (55/72),68.59%,0,6,17,408,48,-,6,-,1,Round 1,872,Quail Hollow Club,6,71,66,-5,-0.839,0.035,2.306,0.063,0.495,0.257,2.903,-0.010,42.86% (6/14),59.57%,307.00 yds,300.7,83.33% (15/18),68.59%,0,6,6,408,11,-,1,-,2,Round 2,872,Quail Hollow Club,6,71,70,-1,1.410,0.035,0.899,0.063,-0.639,0.257,-0.740,-0.010,78.57% (11/14),59.57%,325.50 yds,300.7,88.89% (16/18),68.59%,0,6,4,408,12,-,1,-,3,Round 3,872,Quail Hollow Club,6,71,71,E,0.885,0.035,-0.486,0.063,-0.566,0.257,0.248,-0.010,57.14% (8/14),59.57%,323.00 yds,300.7,55.56% (10/18),68.59%,0,6,4,408,10,-,4,-,4,Round 4,872,Quail Hollow Club,13,71,68,-3,0.145,0.035,-0.921,0.063,-0.804,0.257,4.230,-0.010,64.29% (9/14),59.57%,288.50 yds,300.7,77.78% (14/18),68.59%,0,6,3,408,15,-,0,-
39977,Max,Homa,False,Max Homa,USA,M. Homa,T8,-9,F,-1,872,6,4,70,67,68,70,COMPLETE,275,3,R4 Completed,-1,All,1.361,0.317,1.456,0.475,1.988,0.233,3.921,0.612,57.14% (32/56),60.15%,315.40 yds,304.8,68.06% (49/72),66.86%,0,11,17,373,47,-,8,-,1,Round 1,872,Quail Hollow Club,17,71,70,-1,0.266,0.317,-1.597,0.475,0.361,0.233,2.613,0.612,50.00% (7/14),60.15%,302.00 yds,304.8,61.11% (11/18),66.86%,0,11,4,373,11,-,3,-,2,Round 2,872,Quail Hollow Club,17,71,67,-4,1.249,0.317,3.243,0.475,0.902,0.233,-2.081,0.612,57.14% (8/14),60.15%,316.50 yds,304.8,77.78% (14/18),66.86%,0,11,5,373,12,-,1,-,3,Round 3,872,Quail Hollow Club,9,71,68,-3,-1.139,0.317,0.503,0.475,1.052,0.233,2.702,0.612,50.00% (7/14),60.15%,320.50 yds,304.8,72.22% (13/18),66.86%,0,11,5,373,11,-,2,-,4,Round 4,872,Quail Hollow Club,6,71,70,-1,0.984,0.317,-0.693,0.475,-0.327,0.233,0.686,0.612,71.43% (10/14),60.15%,322.50 yds,304.8,61.11% (11/18),66.86%,0,11,3,373,13,-,2,-
39997,Corey,Conners,False,Corey Conners,CAN,C. Conners,T8,-9,F,-1,872,5,4,70,69,66,70,COMPLETE,275,22,R4 Completed,-1,All,1.110,0.586,4.934,0.534,1.706,-0.066,0.264,-0.136,58.93% (33/56),61.40%,312.40 yds,300.6,76.39% (55/72),70.22%,2,9,12,340,52,-,5,-,1,Round 1,872,Quail Hollow Club,19,71,70,-1,0.012,0.586,-0.014,0.534,0.697,-0.066,0.985,-0.136,64.29% (9/14),61.40%,298.00 yds,300.6,66.67% (12/18),70.22%,0,9,4,340,12,-,1,-,2,Round 2,872,Quail Hollow Club,19,71,69,-2,2.107,0.586,0.886,0.534,-0.383,-0.066,-0.387,-0.136,71.43% (10/14),61.40%,317.00 yds,300.6,83.33% (15/18),70.22%,1,9,2,340,13,-,2,-,3,Round 3,872,Quail Hollow Club,18,71,66,-5,-0.554,0.586,2.533,0.534,1.174,-0.066,0.306,-0.136,50.00% (7/14),61.40%,315.50 yds,300.6,77.78% (14/18),70.22%,0,9,6,340,11,-,1,-,4,Round 4,872,Quail Hollow Club,5,71,70,-1,-0.456,0.586,1.529,0.534,0.218,-0.066,-0.641,-0.136,50.00% (7/14),61.40%,319.00 yds,300.6,77.78% (14/18),70.22%,1,9,0,340,16,-,1,-
39971,Sungjae,Im,False,Sungjae Im,KOR,S. Im,T8,-9,F,+1,872,4,4,69,66,68,72,COMPLETE,275,19,R4 Completed,-1,All,2.446,0.467,2.577,0.095,1.060,0.279,5.636,0.207,62.50% (35/56),62.98%,308.60 yds,299.3,69.44% (50/72),66.45%,1,11,18,429,44,-,7,-,1,Round 1,872,Quail Hollow Club,22,71,69,-2,0.910,0.467,0.299,0.095,-1.097,0.279,1.753,0.207,71.43% (10/14),62.98%,301.00 yds,299.3,72.22% (13/18),66.45%,0,11,5,429,11,-,1,-,2,Round 2,872,Quail Hollow Club,22,71,66,-5,0.456,0.467,2.173,0.095,1.365,0.279,0.949,0.207,50.00% (7/14),62.98%,310.00 yds,299.3,66.67% (12/18),66.45%,0,11,6,429,11,-,1,-,3,Round 3,872,Quail Hollow Club,4,71,68,-3,0.080,0.467,-0.308,0.095,0.881,0.279,2.235,0.207,64.29% (9/14),62.98%,315.50 yds,299.3,72.22% (13/18),66.45%,0,11,4,429,13,-,1,-,4,Round 4,872,Quail Hollow Club,4,71,72,+1,1.000,0.467,0.413,0.095,-0.089,0.279,0.698,0.207,64.29% (9/14),62.98%,308.00 yds,299.3,66.67% (12/18),66.45%,1,11,3,429,9,-,4,-
30927,Brendon,Todd,False,Brendon Todd,USA,B. Todd,T8,-9,F,E,872,4,4,71,68,65,71,COMPLETE,275,46,R4 Completed,-1,All,-4.216,-0.348,0.946,0.200,4.367,0.454,8.019,0.441,73.21% (41/56),67.92%,292.30 yds,282.0,62.50% (45/72),66.19%,1,5,17,421,45,-,8,-,1,Round 1,872,Quail Hollow Club,43,71,71,E,0.043,-0.348,-0.766,0.200,1.115,0.454,0.732,0.441,78.57% (11/14),67.92%,300.50 yds,282.0,55.56% (10/18),66.19%,0,5,3,421,13,-,1,-,2,Round 2,872,Quail Hollow Club,43,71,68,-3,-0.928,-0.348,0.262,0.200,2.260,0.454,0.719,0.441,71.43% (10/14),67.92%,285.50 yds,282.0,55.56% (10/18),66.19%,0,5,5,421,11,-,2,-,3,Round 3,872,Quail Hollow Club,15,71,65,-6,-0.348,-0.348,1.032,0.200,0.885,0.454,2.890,0.441,85.71% (12/14),67.92%,291.00 yds,282.0,72.22% (13/18),66.19%,1,5,5,421,11,-,1,-,4,Round 4,872,Quail Hollow Club,4,71,71,E,-2.984,-0.348,0.418,0.200,0.107,0.454,3.677,0.441,57.14% (8/14),67.92%,292.00 yds,282.0,66.67% (12/18),66.19%,0,5,4,421,10,-,4,-
25632,Jimmy,Walker,False,Jimmy Walker,USA,J. Walker,T14,-8,F,-3,872,14,4,72,68,68,68,COMPLETE,276,106,R4 Completed,-1,All,0.069,-0.216,0.057,-0.120,2.942,0.100,4.645,0.022,44.64% (25/56),52.31%,332.00 yds,307.2,61.11% (44/72),64.08%,1,6,14,306,49,-,8,-,1,Round 1,872,Quail Hollow Club,24,71,72,+1,-0.275,-0.216,-0.636,-0.120,0.441,0.100,-0.665,0.022,50.00% (7/14),52.31%,328.50 yds,307.2,55.56% (10/18),64.08%,0,6,3,306,11,-,4,-,2,Round 2,872,Quail Hollow Club,24,71,68,-3,-1.097,-0.216,2.606,-0.120,0.457,0.100,0.347,0.022,42.86% (6/14),52.31%,313.00 yds,307.2,72.22% (13/18),64.08%,1,6,2,306,14,-,1,-,3,Round 3,872,Quail Hollow Club,26,71,68,-3,0.016,-0.216,-1.157,-0.120,1.176,0.100,3.177,0.022,50.00% (7/14),52.31%,336.00 yds,307.2,55.56% (10/18),64.08%,0,6,5,306,11,-,2,-,4,Round 4,872,Quail Hollow Club,14,71,68,-3,1.425,-0.216,-0.756,-0.120,0.868,0.100,1.785,0.022,35.71% (5/14),52.31%,350.50 yds,307.2,61.11% (11/18),64.08%,0,6,4,306,13,-,1,-
32102,Rickie,Fowler,False,Rickie Fowler,USA,R. Fowler,T14,-8,F,-2,872,11,4,71,68,68,69,COMPLETE,276,25,R4 Completed,-1,All,0.506,0.126,3.620,0.740,0.411,0.269,4.949,0.290,51.79% (29/56),58.51%,317.90 yds,308.1,62.50% (45/72),68.11%,1,11,13,399,52,-,5,-,1,Round 1,872,Quail Hollow Club,31,71,71,E,0.220,0.126,1.111,0.740,1.567,0.269,-0.917,0.290,50.00% (7/14),58.51%,324.00 yds,308.1,72.22% (13/18),68.11%,0,11,2,399,15,-,0,-,2,Round 2,872,Quail Hollow Club,31,71,68,-3,0.052,0.126,1.543,0.740,-0.212,0.269,2.069,0.290,64.29% (9/14),58.51%,301.50 yds,308.1,61.11% (11/18),68.11%,1,11,3,399,12,-,2,-,3,Round 3,872,Quail Hollow Club,16,71,68,-3,0.500,0.126,1.540,0.740,-0.586,0.269,0.948,0.290,35.71% (5/14),58.51%,316.00 yds,308.1,61.11% (11/18),68.11%,0,11,4,399,13,-,1,-,4,Round 4,872,Quail Hollow Club,11,71,69,-2,-0.266,0.126,-0.574,0.740,-0.358,0.269,2.848,0.290,57.14% (8/14),58.51%,330.00 yds,308.1,55.56% (10/18),68.11%,0,11,4,399,12,-,2,-
33448,Justin,Thomas,False,Justin Thomas,USA,J. Thomas,T14,-8,F,E,872,7,4,68,67,70,71,COMPLETE,276,67,R4 Completed,-1,All,2.670,0.198,2.748,0.362,-0.629,0.436,1.399,-0.161,55.36% (31/56),55.19%,325.60 yds,308.5,73.61% (53/72),65.74%,1,9,17,288,43,-,11,-,1,Round 1,872,Quail Hollow Club,31,71,68,-3,1.305,0.198,0.278,0.362,-0.082,0.436,1.364,-0.161,50.00% (7/14),55.19%,336.00 yds,308.5,83.33% (15/18),65.74%,0,9,5,288,11,-,2,-,2,Round 2,872,Quail Hollow Club,31,71,67,-4,-0.248,0.198,2.762,0.362,0.110,0.436,0.689,-0.161,57.14% (8/14),55.19%,307.50 yds,308.5,77.78% (14/18),65.74%,0,9,6,288,10,-,2,-,3,Round 3,872,Quail Hollow Club,3,71,70,-1,0.960,0.198,-1.669,0.362,0.105,0.436,0.064,-0.161,64.29% (9/14),55.19%,319.50 yds,308.5,66.67% (12/18),65.74%,1,9,2,288,12,-,3,-,4,Round 4,872,Quail Hollow Club,7,71,71,E,0.653,0.198,1.377,0.362,-0.762,0.436,-0.719,-0.161,50.00% (7/14),55.19%,339.50 yds,308.5,66.67% (12/18),65.74%,0,9,4,288,10,-,4,-
31323,Gary,Woodland,False,Gary Woodland,USA,G. Woodland,T14,-8,F,E,872,5,4,69,69,67,71,COMPLETE,276,90,R4 Completed,-1,All,4.475,0.533,5.537,0.741,1.885,-0.349,-3.525,-0.568,50.00% (28/56),58.23%,321.60 yds,313.8,69.44% (50/72),67.94%,1,8,21,305,36,-,13,-,1,Round 1,872,Quail Hollow Club,9,71,69,-2,1.889,0.533,2.656,0.741,-0.020,-0.349,-1.764,-0.568,50.00% (7/14),58.23%,337.50 yds,313.8,72.22% (13/18),67.94%,0,8,6,305,9,-,2,-,2,Round 2,872,Quail Hollow Club,9,71,69,-2,1.200,0.533,1.331,0.741,1.155,-0.349,-0.984,-0.568,57.14% (8/14),58.23%,308.50 yds,313.8,66.67% (12/18),67.94%,1,8,4,305,9,-,4,-,3,Round 3,872,Quail Hollow Club,14,71,67,-4,-0.161,0.533,-0.271,0.741,1.765,-0.349,1.924,-0.568,42.86% (6/14),58.23%,302.00 yds,313.8,55.56% (10/18),67.94%,0,8,7,305,8,-,3,-,4,Round 4,872,Quail Hollow Club,5,71,71,E,1.546,0.533,1.821,0.741,-1.015,-0.349,-2.702,-0.568,50.00% (7/14),58.23%,338.50 yds,313.8,83.33% (15/18),67.94%,0,8,4,305,10,-,4,-
